Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,11/20/2019,11/20/2021,"$1,759,987.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1862053
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,11/26/2018,02/14/2019,"$74,847.00",Phase I,SBIR,18.3,https://legacy.www.sbir.gov/sbirsearch/detail/1853561
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,03/27/2019,03/27/2021,"$1,379,998.00",Phase II,SBIR,08.3,https://legacy.www.sbir.gov/sbirsearch/detail/1860415
MECHANICAL SOLUTIONS INC,MECHANICAL SOLUTIONS INC,03/06/2019,03/06/2021,"$749,995.00",Phase II,SBIR,18.3,https://legacy.www.sbir.gov/sbirsearch/detail/1860663
"MECHANICAL SOLUTIONS, INC.","MECHANICAL SOLUTIONS, INC.",N/A,N/A,"$98,658.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/357322
"Mechanical Technology, Inc.","Mechanical Technology, Inc.",N/A,N/A,"$69,899.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228094
"Mechanical Technology, Inc.","Mechanical Technology, Inc.",N/A,N/A,"$75,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228096
"Mechanical Technology, Inc.","Mechanical Technology, Inc.",N/A,N/A,"$99,888.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228098
Mechanismic Inc.,Mechanismic Inc.,09/15/2021,08/31/2023,"$1,020,000.00",Phase II,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2090397
Mechanismic Inc.,Mechanismic Inc.,02/01/2019,01/31/2020,"$224,959.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1585361
Mechanized Design,Mechanized Design,06/01/2017,01/31/2019,"$99,839.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1406881
Mechanobiologix L.L.C.,Mechanobiologix L.L.C.,09/20/2019,06/30/2020,"$149,978.00",Phase I,STTR,PA18-575,https://legacy.www.sbir.gov/sbirsearch/detail/1683233
MECHASIM INC.,MECHASIM INC.,12/15/2020,11/30/2021,"$224,761.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2087517
MECHASIM INC.,MECHASIM INC.,09/27/2021,03/26/2022,"$251,316.00",Phase I,SBIR,PA19-272,https://legacy.www.sbir.gov/sbirsearch/detail/2186011
